,Solution Number,solutionname,category,subcategory,description
1,Solution-1,Online archival,Outlook,,This solution guides you to set up an online archival to free your local disk space.
2,Solution-2,Unable to send emails due to an IRM error,Outlook,,This solution helps you to install IRM on your computer.
4,Solution-4,Speed up your Outlook,Outlook,slowness,"It guides you to start Outlook in a safe mode. On a successful restart, it prompts you to uninstall redundant Add-ins. If restart does not succeed, then you are prompted to create a new profile.  It also checks the size of the OST files."
5,Solution-5,Recover or request a certificate,Outlook,,This solution guides you to recover or request a digital certificate.
6,Solution-6,Read and sign emails from OWA,Outlook,,This solution guides you to install a digital certificate so that you can send and read digitally signed mails.
7,Solution-7,Always encrypt or digitally sign emails,Outlook,,This solution guides you to select the setting for encryption or digitally signing mails.
8,Solution-8,Unable to open calendar invite,Outlook,configuration,This solution helps you to uninstall redundant Add-ins which may be interfering with your Outlook calendar.
9,Solution-9,Outlook encountered a problem,Outlook,,"This solution helps you to fix a problem, likely to arise from many issues, in Outlook."
10,Solution-10,Outlook PST error,Outlook,configuration,This solution helps you to repair your PST file using scanpst.
11,Solution-11,Outlook OST error,Outlook,configuration,This solution helps you to recreate the OST file on your computer.
12,Solution-12,Desktop notifications not appearing,Outlook,configuration,"This solution helps you turn on notifications for your Desktop whenever you get a new email, or a meeting is about to start."
13,Solution-13,Outlook is unable to send/ receive email,Outlook,error messages,This solution helps you to reconnect your Outlook so that you are able to send/receive mails.
14,Solution-14,Map mails to PST file	,Outlook,,This solution helps you to map an existing PST file to your Outlook so that you can view its content.
15,Solution-15,Create a new PST file,Outlook,configuration,This solution helps you to create a new PST file to save space on the mail server.
18,Solution-18,Unable to open default mail folder,Outlook,,This solution helps you to modify a setting in the Outlook.exe Properties dialog box.
19,Solution-19,DLP corrupted error while sending email	,Outlook,,This solution guides you to correct the error related to corruption in DLP while sending mail in Outlook.
20,Solution-20,Unable to Browse,Internet Explorer,error messages,This solution helps you to perform various tasks in Internet options dialog which may be interfering with your browsing.
21,Solution-21,Accenture sites not opening,Internet Explorer,,This solution helps you to perform various tasks in the Internet Options dialog box which may be interfering with your browsing.
23,Solution-23,External websites not accessible,Internet Explorer,,This solution helps you to perform various tasks in the Internet Options dialog box which may be interfering with your browsing.
25,Solution-25,Symantec registration issue,Internet Explorer,,This solution guides you to register your device for Symantec.
26,Solution-26,Java application blocked by security settings,Internet Explorer,,This solution helps you to change few settings in the Java control panel.
27,Solution-27,Error while opening secured URL,Internet Explorer,,This solution helps you change relevant settings in the Internet Options dialog box.
28,Solution-28,Open PDF files,Internet Explorer,,This solution helps you enable this in Internet Add-ons dialog.
29,Solution-29,Connection tab is not seen in Internet Options,Internet Explorer,,This solution changes a registry setting to re-enable the Connection tab in Internet Options.
30,Solution-30,Set PIN while printing	,Printing Issue,,This solution helps you to set up PIN while printing.
31,Solution-31,Install a new printer,Printing Issue,,This solution helps you to install a new printer.
32,Solution-32,Create a new profile,Outlook,,This solution tells you how to create a new profile.
33,Solution-33,Create a shared mailbox,Outlook,,This solution guides you to create a shared mailbox.
41,Solution-41,Corrupt TCP/ IP Fix	,System and Networking,,This solution fixes issues like computer not acquiring IP Address or encountering network errors.
42,Solution-42,Temporary profile login in Windows7,System and Networking,,This solution allows you to get icon and profile settings back.
43,Solution-43,Hyperlink does not open in Outlook,Outlook,,"Hyperlink does not open in Outlook, giving an error “This operation has been cancelled due to restrictions in effect on this computer."
44,Solution-44,Unable to start Outlook,Outlook,,"Unable to start  Outlook, giving start up errors."
45,Solution-45,Network adapter not connected error,System and Networking,,Not connected error (or) Red X on network adapter even if network cable is connected.
46,Solution-46,Unable to open attachments from Outlook,Outlook,,This solution helps you in opening Excel attachments received in Outlook.
47,Solution-47,Problem in moving/dragging cells,Office,,Unable to move/ drag cells in Excel.
48,Solution-48,Problem sending command to the program,System and Networking,,"The error message: ""There was a problem sending command to the program"" - is shown every time you try to open the file."
49,Solution-49,Unable to open Excel,Office,,"Unable to open Excel, with error message: The file is corrupt and cannot be opened."
